"Angle","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
56.84,2.08,"P and true G",4,20,0.1,"low","ind"
57.81,1.92,"Estimated G and true G",4,20,0.1,"low","ind"
54.89,2.06,"P and estimated G",4,20,0.1,"low","ind"
57.26,2.14,"P and true G",4,60,0.1,"low","ind"
57.74,1.96,"Estimated G and true G",4,60,0.1,"low","ind"
59.22,1.92,"P and estimated G",4,60,0.1,"low","ind"
56.68,2.27,"P and true G",4,200,0.1,"low","ind"
59.29,1.96,"Estimated G and true G",4,200,0.1,"low","ind"
58.72,2.07,"P and estimated G",4,200,0.1,"low","ind"
34.26,2.16,"P and true G",4,20,0.5,"low","ind"
40.16,2.32,"Estimated G and true G",4,20,0.5,"low","ind"
35.97,2.2,"P and estimated G",4,20,0.5,"low","ind"
35.12,2.4,"P and true G",4,60,0.5,"low","ind"
40.73,2.18,"Estimated G and true G",4,60,0.5,"low","ind"
43.17,2.35,"P and estimated G",4,60,0.5,"low","ind"
30.97,2.1,"P and true G",4,200,0.5,"low","ind"
42.33,2.26,"Estimated G and true G",4,200,0.5,"low","ind"
39.73,2.28,"P and estimated G",4,200,0.5,"low","ind"
52.1,2.45,"P and true G",4,20,0.1,"medium","ind"
58.02,2.11,"Estimated G and true G",4,20,0.1,"medium","ind"
50.72,2.09,"P and estimated G",4,20,0.1,"medium","ind"
43.56,2.33,"P and true G",4,60,0.1,"medium","ind"
47.59,1.94,"Estimated G and true G",4,60,0.1,"medium","ind"
54.35,2.08,"P and estimated G",4,60,0.1,"medium","ind"
27.74,1.86,"P and true G",4,200,0.1,"medium","ind"
38.9,2.24,"Estimated G and true G",4,200,0.1,"medium","ind"
40.19,2.11,"P and estimated G",4,200,0.1,"medium","ind"
17.49,1.41,"P and true G",4,20,0.5,"medium","ind"
29.9,2.11,"Estimated G and true G",4,20,0.5,"medium","ind"
25.73,1.92,"P and estimated G",4,20,0.5,"medium","ind"
13.09,1.6,"P and true G",4,60,0.5,"medium","ind"
19.48,1.63,"Estimated G and true G",4,60,0.5,"medium","ind"
18.32,1.41,"P and estimated G",4,60,0.5,"medium","ind"
5.23,0.52,"P and true G",4,200,0.5,"medium","ind"
10.83,1,"Estimated G and true G",4,200,0.5,"medium","ind"
10.18,0.95,"P and estimated G",4,200,0.5,"medium","ind"
41.56,2.53,"P and true G",4,20,0.1,"high","ind"
47.86,2.2,"Estimated G and true G",4,20,0.1,"high","ind"
47.52,2.13,"P and estimated G",4,20,0.1,"high","ind"
21.22,1.7,"P and true G",4,60,0.1,"high","ind"
33.94,1.97,"Estimated G and true G",4,60,0.1,"high","ind"
38.12,2.3,"P and estimated G",4,60,0.1,"high","ind"
11.17,1.07,"P and true G",4,200,0.1,"high","ind"
19.57,1.18,"Estimated G and true G",4,200,0.1,"high","ind"
20.9,1.29,"P and estimated G",4,200,0.1,"high","ind"
6.62,0.49,"P and true G",4,20,0.5,"high","ind"
16.8,1.44,"Estimated G and true G",4,20,0.5,"high","ind"
15.15,1.35,"P and estimated G",4,20,0.5,"high","ind"
3.98,0.54,"P and true G",4,60,0.5,"high","ind"
7.85,0.83,"Estimated G and true G",4,60,0.5,"high","ind"
7.23,0.72,"P and estimated G",4,60,0.5,"high","ind"
1.72,0.13,"P and true G",4,200,0.5,"high","ind"
4.28,0.28,"Estimated G and true G",4,200,0.5,"high","ind"
3.89,0.27,"P and estimated G",4,200,0.5,"high","ind"
47.34,2.58,"P and true G",4,20,0.1,"low","sim"
56.44,2.24,"Estimated G and true G",4,20,0.1,"low","sim"
54.04,2.29,"P and estimated G",4,20,0.1,"low","sim"
46.59,2.36,"P and true G",4,60,0.1,"low","sim"
58.87,2.06,"Estimated G and true G",4,60,0.1,"low","sim"
55.91,2.39,"P and estimated G",4,60,0.1,"low","sim"
49.97,2.54,"P and true G",4,200,0.1,"low","sim"
59.73,2.02,"Estimated G and true G",4,200,0.1,"low","sim"
57.23,1.98,"P and estimated G",4,200,0.1,"low","sim"
33.53,2.37,"P and true G",4,20,0.5,"low","sim"
44.95,2.35,"Estimated G and true G",4,20,0.5,"low","sim"
41.45,2.33,"P and estimated G",4,20,0.5,"low","sim"
35.1,2.38,"P and true G",4,60,0.5,"low","sim"
46.07,2.35,"Estimated G and true G",4,60,0.5,"low","sim"
44.64,2.27,"P and estimated G",4,60,0.5,"low","sim"
34.33,2.18,"P and true G",4,200,0.5,"low","sim"
44.34,2.29,"Estimated G and true G",4,200,0.5,"low","sim"
43.1,2.27,"P and estimated G",4,200,0.5,"low","sim"
16.43,1.38,"P and true G",4,20,0.1,"medium","sim"
44.5,2.13,"Estimated G and true G",4,20,0.1,"medium","sim"
44.33,2.23,"P and estimated G",4,20,0.1,"medium","sim"
12.98,1.55,"P and true G",4,60,0.1,"medium","sim"
43.85,2.17,"Estimated G and true G",4,60,0.1,"medium","sim"
43.38,2.25,"P and estimated G",4,60,0.1,"medium","sim"
6.12,0.99,"P and true G",4,200,0.1,"medium","sim"
35.24,2.02,"Estimated G and true G",4,200,0.1,"medium","sim"
35.88,1.97,"P and estimated G",4,200,0.1,"medium","sim"
14.53,1.46,"P and true G",4,20,0.5,"medium","sim"
31.87,2.24,"Estimated G and true G",4,20,0.5,"medium","sim"
32.24,2.2,"P and estimated G",4,20,0.5,"medium","sim"
7.44,0.87,"P and true G",4,60,0.5,"medium","sim"
27.2,2.19,"Estimated G and true G",4,60,0.5,"medium","sim"
25.87,2,"P and estimated G",4,60,0.5,"medium","sim"
3.82,0.51,"P and true G",4,200,0.5,"medium","sim"
11.33,0.97,"Estimated G and true G",4,200,0.5,"medium","sim"
12.06,1.12,"P and estimated G",4,200,0.5,"medium","sim"
4.06,0.41,"P and true G",4,20,0.1,"high","sim"
24.22,1.89,"Estimated G and true G",4,20,0.1,"high","sim"
24.94,1.96,"P and estimated G",4,20,0.1,"high","sim"
1.98,0.18,"P and true G",4,60,0.1,"high","sim"
22.95,1.87,"Estimated G and true G",4,60,0.1,"high","sim"
22.76,1.87,"P and estimated G",4,60,0.1,"high","sim"
1.15,0.14,"P and true G",4,200,0.1,"high","sim"
18.15,1.6,"Estimated G and true G",4,200,0.1,"high","sim"
18.35,1.62,"P and estimated G",4,200,0.1,"high","sim"
2.92,0.35,"P and true G",4,20,0.5,"high","sim"
17.7,1.75,"Estimated G and true G",4,20,0.5,"high","sim"
17.82,1.72,"P and estimated G",4,20,0.5,"high","sim"
1.75,0.19,"P and true G",4,60,0.5,"high","sim"
7.91,0.79,"Estimated G and true G",4,60,0.5,"high","sim"
8.06,0.84,"P and estimated G",4,60,0.5,"high","sim"
0.94,0.12,"P and true G",4,200,0.5,"high","sim"
3.8,0.34,"Estimated G and true G",4,200,0.5,"high","sim"
3.81,0.38,"P and estimated G",4,200,0.5,"high","sim"
68.83,1.78,"P and true G",4,20,0.1,"low","opp"
63.08,1.85,"Estimated G and true G",4,20,0.1,"low","opp"
52.39,2.1,"P and estimated G",4,20,0.1,"low","opp"
72.87,1.62,"P and true G",4,60,0.1,"low","opp"
58.97,1.97,"Estimated G and true G",4,60,0.1,"low","opp"
60.43,2.08,"P and estimated G",4,60,0.1,"low","opp"
70.85,1.53,"P and true G",4,200,0.1,"low","opp"
60.21,2,"Estimated G and true G",4,200,0.1,"low","opp"
58.02,2.04,"P and estimated G",4,200,0.1,"low","opp"
48.13,2.25,"P and true G",4,20,0.5,"low","opp"
43.31,2.09,"Estimated G and true G",4,20,0.5,"low","opp"
46.1,2.04,"P and estimated G",4,20,0.5,"low","opp"
43.6,2.27,"P and true G",4,60,0.5,"low","opp"
41.42,2.28,"Estimated G and true G",4,60,0.5,"low","opp"
38.94,2.2,"P and estimated G",4,60,0.5,"low","opp"
43.12,2.24,"P and true G",4,200,0.5,"low","opp"
41.55,2.15,"Estimated G and true G",4,200,0.5,"low","opp"
40.54,2.19,"P and estimated G",4,200,0.5,"low","opp"
82.98,0.83,"P and true G",4,20,0.1,"medium","opp"
