"Cosine","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
0.47,0.03,"P and true G",4,50,0.1,"low","ind"
0.52,0.03,"Estimated G and true G",4,50,0.1,"low","ind"
0.49,0.03,"P and estimated G",4,50,0.1,"low","ind"
0.46,0.03,"P and true G",4,150,0.1,"low","ind"
0.51,0.03,"Estimated G and true G",4,150,0.1,"low","ind"
0.53,0.03,"P and estimated G",4,150,0.1,"low","ind"
0.49,0.03,"P and true G",4,500,0.1,"low","ind"
0.54,0.03,"Estimated G and true G",4,500,0.1,"low","ind"
0.52,0.03,"P and estimated G",4,500,0.1,"low","ind"
0.82,0.02,"P and true G",4,50,0.5,"low","ind"
0.69,0.03,"Estimated G and true G",4,50,0.5,"low","ind"
0.74,0.03,"P and estimated G",4,50,0.5,"low","ind"
0.8,0.02,"P and true G",4,150,0.5,"low","ind"
0.71,0.03,"Estimated G and true G",4,150,0.5,"low","ind"
0.75,0.02,"P and estimated G",4,150,0.5,"low","ind"
0.82,0.02,"P and true G",4,500,0.5,"low","ind"
0.73,0.03,"Estimated G and true G",4,500,0.5,"low","ind"
0.76,0.02,"P and estimated G",4,500,0.5,"low","ind"
0.68,0.03,"P and true G",4,50,0.1,"medium","ind"
0.66,0.03,"Estimated G and true G",4,50,0.1,"medium","ind"
0.62,0.03,"P and estimated G",4,50,0.1,"medium","ind"
0.78,0.02,"P and true G",4,150,0.1,"medium","ind"
0.77,0.02,"Estimated G and true G",4,150,0.1,"medium","ind"
0.74,0.03,"P and estimated G",4,150,0.1,"medium","ind"
0.9,0.02,"P and true G",4,500,0.1,"medium","ind"
0.89,0.02,"Estimated G and true G",4,500,0.1,"medium","ind"
0.86,0.02,"P and estimated G",4,500,0.1,"medium","ind"
0.96,0.01,"P and true G",4,50,0.5,"medium","ind"
0.92,0.01,"Estimated G and true G",4,50,0.5,"medium","ind"
0.92,0.01,"P and estimated G",4,50,0.5,"medium","ind"
0.99,0,"P and true G",4,150,0.5,"medium","ind"
0.95,0.01,"Estimated G and true G",4,150,0.5,"medium","ind"
0.96,0.01,"P and estimated G",4,150,0.5,"medium","ind"
1,0,"P and true G",4,500,0.5,"medium","ind"
