"Cosine","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
0.51,0.03,"P and true G",4,20,0.1,"low","ind"
0.5,0.03,"Estimated G and true G",4,20,0.1,"low","ind"
0.54,0.03,"P and estimated G",4,20,0.1,"low","ind"
0.5,0.03,"P and true G",4,60,0.1,"low","ind"
0.5,0.03,"Estimated G and true G",4,60,0.1,"low","ind"
0.48,0.03,"P and estimated G",4,60,0.1,"low","ind"
0.5,0.03,"P and true G",4,200,0.1,"low","ind"
0.48,0.03,"Estimated G and true G",4,200,0.1,"low","ind"
0.48,0.03,"P and estimated G",4,200,0.1,"low","ind"
0.77,0.02,"P and true G",4,20,0.5,"low","ind"
0.71,0.03,"Estimated G and true G",4,20,0.5,"low","ind"
0.76,0.03,"P and estimated G",4,20,0.5,"low","ind"
0.76,0.03,"P and true G",4,60,0.5,"low","ind"
0.71,0.03,"Estimated G and true G",4,60,0.5,"low","ind"
0.67,0.03,"P and estimated G",4,60,0.5,"low","ind"
0.81,0.02,"P and true G",4,200,0.5,"low","ind"
0.69,0.03,"Estimated G and true G",4,200,0.5,"low","ind"
0.71,0.03,"P and estimated G",4,200,0.5,"low","ind"
0.56,0.03,"P and true G",4,20,0.1,"medium","ind"
0.49,0.03,"Estimated G and true G",4,20,0.1,"medium","ind"
0.59,0.03,"P and estimated G",4,20,0.1,"medium","ind"
0.67,0.03,"P and true G",4,60,0.1,"medium","ind"
0.64,0.03,"Estimated G and true G",4,60,0.1,"medium","ind"
0.54,0.03,"P and estimated G",4,60,0.1,"medium","ind"
0.84,0.02,"P and true G",4,200,0.1,"medium","ind"
0.72,0.03,"Estimated G and true G",4,200,0.1,"medium","ind"
0.72,0.03,"P and estimated G",4,200,0.1,"medium","ind"
0.93,0.01,"P and true G",4,20,0.5,"medium","ind"
0.81,0.02,"Estimated G and true G",4,20,0.5,"medium","ind"
0.86,0.02,"P and estimated G",4,20,0.5,"medium","ind"
0.94,0.02,"P and true G",4,60,0.5,"medium","ind"
0.91,0.02,"Estimated G and true G",4,60,0.5,"medium","ind"
0.92,0.01,"P and estimated G",4,60,0.5,"medium","ind"
0.99,0,"P and true G",4,200,0.5,"medium","ind"
0.97,0.01,"Estimated G and true G",4,200,0.5,"medium","ind"
0.97,0.01,"P and estimated G",4,200,0.5,"medium","ind"
0.68,0.03,"P and true G",4,20,0.1,"high","ind"
0.63,0.03,"Estimated G and true G",4,20,0.1,"high","ind"
0.63,0.03,"P and estimated G",4,20,0.1,"high","ind"
0.9,0.02,"P and true G",4,60,0.1,"high","ind"
0.79,0.02,"Estimated G and true G",4,60,0.1,"high","ind"
0.73,0.03,"P and estimated G",4,60,0.1,"high","ind"
0.97,0.01,"P and true G",4,200,0.1,"high","ind"
0.92,0.01,"Estimated G and true G",4,200,0.1,"high","ind"
0.91,0.01,"P and estimated G",4,200,0.1,"high","ind"
0.99,0,"P and true G",4,20,0.5,"high","ind"
0.93,0.01,"Estimated G and true G",4,20,0.5,"high","ind"
0.94,0.01,"P and estimated G",4,20,0.5,"high","ind"
0.99,0,"P and true G",4,60,0.5,"high","ind"
0.98,0.01,"Estimated G and true G",4,60,0.5,"high","ind"
