"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
109.4421,1.4436,"P and true G",8,20,0.1,"low","ind"
236.1644,4.7391,"Estimated G and true G",8,20,0.1,"low","ind"
93.5624,0.5964,"P and estimated G",8,20,0.1,"low","ind"
109.9777,1.3629,"P and true G",8,60,0.1,"low","ind"
338.8096,5.8705,"Estimated G and true G",8,60,0.1,"low","ind"
97.0276,0.3548,"P and estimated G",8,60,0.1,"low","ind"
106.4126,1.2037,"P and true G",8,200,0.1,"low","ind"
541.5688,10.4822,"Estimated G and true G",8,200,0.1,"low","ind"
98.2664,0.2267,"P and estimated G",8,200,0.1,"low","ind"
73.5079,1.2484,"P and true G",8,20,0.5,"low","ind"
143.8966,3.6247,"Estimated G and true G",8,20,0.5,"low","ind"
76.3751,0.8277,"P and estimated G",8,20,0.5,"low","ind"
72.3638,1.1395,"P and true G",8,60,0.5,"low","ind"
169.7823,3.9324,"Estimated G and true G",8,60,0.5,"low","ind"
81.2556,0.6831,"P and estimated G",8,60,0.5,"low","ind"
73.5863,0.9194,"P and true G",8,200,0.5,"low","ind"
164.8271,3.0288,"Estimated G and true G",8,200,0.5,"low","ind"
79.8077,0.6051,"P and estimated G",8,200,0.5,"low","ind"
97.2957,0.8049,"P and true G",8,20,0.1,"medium","ind"
155.1733,3.9454,"Estimated G and true G",8,20,0.1,"medium","ind"
92.6005,0.6816,"P and estimated G",8,20,0.1,"medium","ind"
93.4565,0.6268,"P and true G",8,60,0.1,"medium","ind"
151.8144,3.5549,"Estimated G and true G",8,60,0.1,"medium","ind"
95.4601,0.4542,"P and estimated G",8,60,0.1,"medium","ind"
91.2287,0.3415,"P and true G",8,200,0.1,"medium","ind"
133.6547,2.7278,"Estimated G and true G",8,200,0.1,"medium","ind"
96.0181,0.2429,"P and estimated G",8,200,0.1,"medium","ind"
62.2598,1.0298,"P and true G",8,20,0.5,"medium","ind"
89.5147,2.4312,"Estimated G and true G",8,20,0.5,"medium","ind"
