"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
111.02,2.84,"P and true G",4,50,0.1,"low","ind"
510.39,22.15,"Estimated G and true G",4,50,0.1,"low","ind"
98.54,0.54,"P and estimated G",4,50,0.1,"low","ind"
105.48,1.38,"P and true G",8,50,0.1,"low","ind"
310.98,6.95,"Estimated G and true G",8,50,0.1,"low","ind"
96.58,0.41,"P and estimated G",8,50,0.1,"low","ind"
104.84,0.76,"P and true G",12,50,0.1,"low","ind"
283.43,4.69,"Estimated G and true G",12,50,0.1,"low","ind"
96.75,0.27,"P and estimated G",12,50,0.1,"low","ind"
104.95,2.39,"P and true G",4,150,0.1,"low","ind"
606.26,24.78,"Estimated G and true G",4,150,0.1,"low","ind"
98.75,0.48,"P and estimated G",4,150,0.1,"low","ind"
106.04,1.2,"P and true G",8,150,0.1,"low","ind"
466.08,11.53,"Estimated G and true G",8,150,0.1,"low","ind"
98.22,0.29,"P and estimated G",8,150,0.1,"low","ind"
105.16,0.73,"P and true G",12,150,0.1,"low","ind"
399.41,5.17,"Estimated G and true G",12,150,0.1,"low","ind"
97.61,0.2,"P and estimated G",12,150,0.1,"low","ind"
106.16,2.36,"P and true G",4,500,0.1,"low","ind"
625.19,29.05,"Estimated G and true G",4,500,0.1,"low","ind"
98.61,0.48,"P and estimated G",4,500,0.1,"low","ind"
104.82,1.26,"P and true G",8,500,0.1,"low","ind"
558.01,11.89,"Estimated G and true G",8,500,0.1,"low","ind"
98.52,0.23,"P and estimated G",8,500,0.1,"low","ind"
105.65,0.69,"P and true G",12,500,0.1,"low","ind"
540.19,6.43,"Estimated G and true G",12,500,0.1,"low","ind"
98.25,0.14,"P and estimated G",12,500,0.1,"low","ind"
72.54,2.77,"P and true G",4,50,0.5,"low","ind"
185.89,10.23,"Estimated G and true G",4,50,0.5,"low","ind"
80.4,1.12,"P and estimated G",4,50,0.5,"low","ind"
68.27,1.04,"P and true G",8,50,0.5,"low","ind"
159.11,3.79,"Estimated G and true G",8,50,0.5,"low","ind"
80.82,0.67,"P and estimated G",8,50,0.5,"low","ind"
69.28,0.77,"P and true G",12,50,0.5,"low","ind"
159.41,2.63,"Estimated G and true G",12,50,0.5,"low","ind"
81.64,0.52,"P and estimated G",12,50,0.5,"low","ind"
71.24,2.32,"P and true G",4,150,0.5,"low","ind"
150.94,6.9,"Estimated G and true G",4,150,0.5,"low","ind"
79.95,1.43,"P and estimated G",4,150,0.5,"low","ind"
69.38,0.95,"P and true G",8,150,0.5,"low","ind"
151.93,3.2,"Estimated G and true G",8,150,0.5,"low","ind"
78.96,0.58,"P and estimated G",8,150,0.5,"low","ind"
67.71,0.62,"P and true G",12,150,0.5,"low","ind"
166.17,2.14,"Estimated G and true G",12,150,0.5,"low","ind"
81.52,0.37,"P and estimated G",12,150,0.5,"low","ind"
70.68,2.23,"P and true G",4,500,0.5,"low","ind"
138.1,6.95,"Estimated G and true G",4,500,0.5,"low","ind"
75.74,1.39,"P and estimated G",4,500,0.5,"low","ind"
69.48,0.87,"P and true G",8,500,0.5,"low","ind"
137.53,2.77,"Estimated G and true G",8,500,0.5,"low","ind"
76.84,0.56,"P and estimated G",8,500,0.5,"low","ind"
67.65,0.63,"P and true G",12,500,0.5,"low","ind"
221.94,2.53,"Estimated G and true G",12,500,0.5,"low","ind"
86.66,0.3,"P and estimated G",12,500,0.5,"low","ind"
92.86,0.99,"P and true G",4,50,0.1,"medium","ind"
158.36,7.66,"Estimated G and true G",4,50,0.1,"medium","ind"
95.88,0.7,"P and estimated G",4,50,0.1,"medium","ind"
93.56,0.59,"P and true G",8,50,0.1,"medium","ind"
149.21,3.79,"Estimated G and true G",8,50,0.1,"medium","ind"
95.16,0.45,"P and estimated G",8,50,0.1,"medium","ind"
94.95,0.45,"P and true G",12,50,0.1,"medium","ind"
163.89,2.49,"Estimated G and true G",12,50,0.1,"medium","ind"
95.85,0.3,"P and estimated G",12,50,0.1,"medium","ind"
90.96,0.63,"P and true G",4,150,0.1,"medium","ind"
99.72,4.35,"Estimated G and true G",4,150,0.1,"medium","ind"
93.92,0.48,"P and estimated G",4,150,0.1,"medium","ind"
90.98,0.34,"P and true G",8,150,0.1,"medium","ind"
129.3,2.54,"Estimated G and true G",8,150,0.1,"medium","ind"
95.61,0.31,"P and estimated G",8,150,0.1,"medium","ind"
92.06,0.32,"P and true G",12,150,0.1,"medium","ind"
145.71,2.33,"Estimated G and true G",12,150,0.1,"medium","ind"
95.88,0.24,"P and estimated G",12,150,0.1,"medium","ind"
90.16,0.32,"P and true G",4,500,0.1,"medium","ind"
65.61,2.83,"Estimated G and true G",4,500,0.1,"medium","ind"
92.26,0.37,"P and estimated G",4,500,0.1,"medium","ind"
90.73,0.21,"P and true G",8,500,0.1,"medium","ind"
88.73,1.82,"Estimated G and true G",8,500,0.1,"medium","ind"
93.78,0.19,"P and estimated G",8,500,0.1,"medium","ind"
90.42,0.17,"P and true G",12,500,0.1,"medium","ind"
104.1,1.74,"Estimated G and true G",12,500,0.1,"medium","ind"
94.55,0.17,"P and estimated G",12,500,0.1,"medium","ind"
52.53,0.99,"P and true G",4,50,0.5,"medium","ind"
49.17,2.13,"Estimated G and true G",4,50,0.5,"medium","ind"
60.5,1.12,"P and estimated G",4,50,0.5,"medium","ind"
55.84,0.53,"P and true G",8,50,0.5,"medium","ind"
75.33,1.79,"Estimated G and true G",8,50,0.5,"medium","ind"
68.8,0.65,"P and estimated G",8,50,0.5,"medium","ind"
56.05,0.47,"P and true G",12,50,0.5,"medium","ind"
83.88,1.89,"Estimated G and true G",12,50,0.5,"medium","ind"
70.62,0.71,"P and estimated G",12,50,0.5,"medium","ind"
49.94,0.5,"P and true G",4,150,0.5,"medium","ind"
27.99,1.13,"Estimated G and true G",4,150,0.5,"medium","ind"
53.32,0.65,"P and estimated G",4,150,0.5,"medium","ind"
52.54,0.37,"P and true G",8,150,0.5,"medium","ind"
42.44,0.97,"Estimated G and true G",8,150,0.5,"medium","ind"
59.07,0.47,"P and estimated G",8,150,0.5,"medium","ind"
52.98,0.28,"P and true G",12,150,0.5,"medium","ind"
57.91,1.13,"Estimated G and true G",12,150,0.5,"medium","ind"
64.27,0.44,"P and estimated G",12,150,0.5,"medium","ind"
50.35,0.28,"P and true G",4,500,0.5,"medium","ind"
14.38,0.65,"Estimated G and true G",4,500,0.5,"medium","ind"
51.82,0.36,"P and estimated G",4,500,0.5,"medium","ind"
51.02,0.2,"P and true G",8,500,0.5,"medium","ind"
22.68,0.42,"Estimated G and true G",8,500,0.5,"medium","ind"
53,0.25,"P and estimated G",8,500,0.5,"medium","ind"
50.98,0.17,"P and true G",12,500,0.5,"medium","ind"
38.32,0.43,"Estimated G and true G",12,500,0.5,"medium","ind"
59.97,0.21,"P and estimated G",12,500,0.5,"medium","ind"
89.41,0.69,"P and true G",4,50,0.1,"high","ind"
57.47,3.87,"Estimated G and true G",4,50,0.1,"high","ind"
90.41,0.75,"P and estimated G",4,50,0.1,"high","ind"
90.43,0.3,"P and true G",8,50,0.1,"high","ind"
65.95,2.05,"Estimated G and true G",8,50,0.1,"high","ind"
88.82,0.5,"P and estimated G",8,50,0.1,"high","ind"
90.86,0.22,"P and true G",12,50,0.1,"high","ind"
63.68,1.85,"Estimated G and true G",12,50,0.1,"high","ind"
89.33,0.5,"P and estimated G",12,50,0.1,"high","ind"
90.48,0.35,"P and true G",4,150,0.1,"high","ind"
39.23,2.55,"Estimated G and true G",4,150,0.1,"high","ind"
89.93,0.45,"P and estimated G",4,150,0.1,"high","ind"
90.27,0.18,"P and true G",8,150,0.1,"high","ind"
42.41,1.39,"Estimated G and true G",8,150,0.1,"high","ind"
88.02,0.3,"P and estimated G",8,150,0.1,"high","ind"
90.19,0.14,"P and true G",12,150,0.1,"high","ind"
47.12,2.08,"Estimated G and true G",12,150,0.1,"high","ind"
89.15,0.37,"P and estimated G",12,150,0.1,"high","ind"
90.17,0.17,"P and true G",4,500,0.1,"high","ind"
28.28,2.7,"Estimated G and true G",4,500,0.1,"high","ind"
89.8,0.25,"P and estimated G",4,500,0.1,"high","ind"
90.06,0.1,"P and true G",8,500,0.1,"high","ind"
26.6,1.08,"Estimated G and true G",8,500,0.1,"high","ind"
88.99,0.15,"P and estimated G",8,500,0.1,"high","ind"
