"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
112.93,3.37,"P and true G",4,20,0.1,"low","ind"
380.44,16.05,"Estimated G and true G",4,20,0.1,"low","ind"
96.97,0.88,"P and estimated G",4,20,0.1,"low","ind"
109.44,1.44,"P and true G",8,20,0.1,"low","ind"
236.16,4.74,"Estimated G and true G",8,20,0.1,"low","ind"
93.56,0.6,"P and estimated G",8,20,0.1,"low","ind"
108.7,1.03,"P and true G",12,20,0.1,"low","ind"
188.64,2.61,"Estimated G and true G",12,20,0.1,"low","ind"
93.11,0.66,"P and estimated G",12,20,0.1,"low","ind"
108.9,2.64,"P and true G",4,60,0.1,"low","ind"
524.77,23.4,"Estimated G and true G",4,60,0.1,"low","ind"
98.23,0.6,"P and estimated G",4,60,0.1,"low","ind"
109.98,1.36,"P and true G",8,60,0.1,"low","ind"
338.81,5.87,"Estimated G and true G",8,60,0.1,"low","ind"
97.03,0.35,"P and estimated G",8,60,0.1,"low","ind"
107.43,0.88,"P and true G",12,60,0.1,"low","ind"
306.67,4.43,"Estimated G and true G",12,60,0.1,"low","ind"
96.75,0.31,"P and estimated G",12,60,0.1,"low","ind"
111.82,3.39,"P and true G",4,200,0.1,"low","ind"
829.85,43.94,"Estimated G and true G",4,200,0.1,"low","ind"
99.25,0.46,"P and estimated G",4,200,0.1,"low","ind"
106.41,1.2,"P and true G",8,200,0.1,"low","ind"
541.57,10.48,"Estimated G and true G",8,200,0.1,"low","ind"
98.27,0.23,"P and estimated G",8,200,0.1,"low","ind"
107.22,0.79,"P and true G",12,200,0.1,"low","ind"
473.77,7.38,"Estimated G and true G",12,200,0.1,"low","ind"
98.09,0.19,"P and estimated G",12,200,0.1,"low","ind"
80.15,3.07,"P and true G",4,20,0.5,"low","ind"
211.78,11.83,"Estimated G and true G",4,20,0.5,"low","ind"
82.18,1.62,"P and estimated G",4,20,0.5,"low","ind"
73.51,1.25,"P and true G",8,20,0.5,"low","ind"
143.9,3.62,"Estimated G and true G",8,20,0.5,"low","ind"
76.38,0.83,"P and estimated G",8,20,0.5,"low","ind"
74.34,0.84,"P and true G",12,20,0.5,"low","ind"
125.13,2.35,"Estimated G and true G",12,20,0.5,"low","ind"
74.63,0.8,"P and estimated G",12,20,0.5,"low","ind"
73.66,2.51,"P and true G",4,60,0.5,"low","ind"
182.36,8.35,"Estimated G and true G",4,60,0.5,"low","ind"
82.19,1.44,"P and estimated G",4,60,0.5,"low","ind"
72.36,1.14,"P and true G",8,60,0.5,"low","ind"
169.78,3.93,"Estimated G and true G",8,60,0.5,"low","ind"
81.26,0.68,"P and estimated G",8,60,0.5,"low","ind"
73.59,0.75,"P and true G",12,60,0.5,"low","ind"
162.33,2.47,"Estimated G and true G",12,60,0.5,"low","ind"
80.77,0.49,"P and estimated G",12,60,0.5,"low","ind"
71.57,2.61,"P and true G",4,200,0.5,"low","ind"
175.46,7.98,"Estimated G and true G",4,200,0.5,"low","ind"
81.22,1.41,"P and estimated G",4,200,0.5,"low","ind"
73.59,0.92,"P and true G",8,200,0.5,"low","ind"
164.83,3.03,"Estimated G and true G",8,200,0.5,"low","ind"
79.81,0.61,"P and estimated G",8,200,0.5,"low","ind"
72.29,0.78,"P and true G",12,200,0.5,"low","ind"
186.96,2.54,"Estimated G and true G",12,200,0.5,"low","ind"
82.56,0.37,"P and estimated G",12,200,0.5,"low","ind"
95.05,1.7,"P and true G",4,20,0.1,"medium","ind"
187.66,7.85,"Estimated G and true G",4,20,0.1,"medium","ind"
96.12,1.01,"P and estimated G",4,20,0.1,"medium","ind"
97.3,0.8,"P and true G",8,20,0.1,"medium","ind"
155.17,3.95,"Estimated G and true G",8,20,0.1,"medium","ind"
92.6,0.68,"P and estimated G",8,20,0.1,"medium","ind"
100.42,0.7,"P and true G",12,20,0.1,"medium","ind"
148.28,2.16,"Estimated G and true G",12,20,0.1,"medium","ind"
91.51,0.46,"P and estimated G",12,20,0.1,"medium","ind"
90.6,0.81,"P and true G",4,60,0.1,"medium","ind"
160.08,7.23,"Estimated G and true G",4,60,0.1,"medium","ind"
97.35,0.65,"P and estimated G",4,60,0.1,"medium","ind"
93.46,0.63,"P and true G",8,60,0.1,"medium","ind"
151.81,3.55,"Estimated G and true G",8,60,0.1,"medium","ind"
95.46,0.45,"P and estimated G",8,60,0.1,"medium","ind"
95.17,0.45,"P and true G",12,60,0.1,"medium","ind"
164.85,2.69,"Estimated G and true G",12,60,0.1,"medium","ind"
95.86,0.3,"P and estimated G",12,60,0.1,"medium","ind"
90.49,0.51,"P and true G",4,200,0.1,"medium","ind"
111.63,5.37,"Estimated G and true G",4,200,0.1,"medium","ind"
95.54,0.49,"P and estimated G",4,200,0.1,"medium","ind"
91.23,0.34,"P and true G",8,200,0.1,"medium","ind"
133.65,2.73,"Estimated G and true G",8,200,0.1,"medium","ind"
96.02,0.24,"P and estimated G",8,200,0.1,"medium","ind"
91.27,0.29,"P and true G",12,200,0.1,"medium","ind"
147.56,2.21,"Estimated G and true G",12,200,0.1,"medium","ind"
96.14,0.21,"P and estimated G",12,200,0.1,"medium","ind"
57.88,1.36,"P and true G",4,20,0.5,"medium","ind"
84.88,4.64,"Estimated G and true G",4,20,0.5,"medium","ind"
68.1,1.38,"P and estimated G",4,20,0.5,"medium","ind"
62.26,1.03,"P and true G",8,20,0.5,"medium","ind"
89.51,2.43,"Estimated G and true G",8,20,0.5,"medium","ind"
68.93,0.84,"P and estimated G",8,20,0.5,"medium","ind"
64.22,0.68,"P and true G",12,20,0.5,"medium","ind"
92.99,2.22,"Estimated G and true G",12,20,0.5,"medium","ind"
70.86,1.02,"P and estimated G",12,20,0.5,"medium","ind"
52.18,0.86,"P and true G",4,60,0.5,"medium","ind"
46.66,1.97,"Estimated G and true G",4,60,0.5,"medium","ind"
59.51,0.98,"P and estimated G",4,60,0.5,"medium","ind"
55.59,0.52,"P and true G",8,60,0.5,"medium","ind"
71.74,1.77,"Estimated G and true G",8,60,0.5,"medium","ind"
66.45,0.6,"P and estimated G",8,60,0.5,"medium","ind"
56.65,0.4,"P and true G",12,60,0.5,"medium","ind"
81.1,1.52,"Estimated G and true G",12,60,0.5,"medium","ind"
69.07,0.56,"P and estimated G",12,60,0.5,"medium","ind"
50.57,0.51,"P and true G",4,200,0.5,"medium","ind"
25.35,1.07,"Estimated G and true G",4,200,0.5,"medium","ind"
54.22,0.62,"P and estimated G",4,200,0.5,"medium","ind"
51.53,0.33,"P and true G",8,200,0.5,"medium","ind"
38.94,0.75,"Estimated G and true G",8,200,0.5,"medium","ind"
57.02,0.39,"P and estimated G",8,200,0.5,"medium","ind"
52.72,0.26,"P and true G",12,200,0.5,"medium","ind"
56.06,1.05,"Estimated G and true G",12,200,0.5,"medium","ind"
63.62,0.39,"P and estimated G",12,200,0.5,"medium","ind"
92.48,0.85,"P and true G",4,20,0.1,"high","ind"
89.55,5.87,"Estimated G and true G",4,20,0.1,"high","ind"
93.63,1.13,"P and estimated G",4,20,0.1,"high","ind"
90.27,0.46,"P and true G",8,20,0.1,"high","ind"
83.69,2.31,"Estimated G and true G",8,20,0.1,"high","ind"
88.24,0.79,"P and estimated G",8,20,0.1,"high","ind"
91.1,0.41,"P and true G",12,20,0.1,"high","ind"
87.58,1.56,"Estimated G and true G",12,20,0.1,"high","ind"
88.49,0.84,"P and estimated G",12,20,0.1,"high","ind"
90.47,0.51,"P and true G",4,60,0.1,"high","ind"
70.13,4.98,"Estimated G and true G",4,60,0.1,"high","ind"
92.02,0.77,"P and estimated G",4,60,0.1,"high","ind"
90.42,0.26,"P and true G",8,60,0.1,"high","ind"
65.72,1.76,"Estimated G and true G",8,60,0.1,"high","ind"
88.43,0.56,"P and estimated G",8,60,0.1,"high","ind"
90.31,0.23,"P and true G",12,60,0.1,"high","ind"
70.65,1.52,"Estimated G and true G",12,60,0.1,"high","ind"
88.61,0.47,"P and estimated G",12,60,0.1,"high","ind"
90.33,0.29,"P and true G",4,200,0.1,"high","ind"
42.45,2.52,"Estimated G and true G",4,200,0.1,"high","ind"
89.84,0.44,"P and estimated G",4,200,0.1,"high","ind"
90.14,0.16,"P and true G",8,200,0.1,"high","ind"
45.89,1.55,"Estimated G and true G",8,200,0.1,"high","ind"
87.79,0.32,"P and estimated G",8,200,0.1,"high","ind"
89.99,0.12,"P and true G",12,200,0.1,"high","ind"
48.41,1.4,"Estimated G and true G",12,200,0.1,"high","ind"
87.54,0.29,"P and estimated G",12,200,0.1,"high","ind"
53.35,0.97,"P and true G",4,20,0.5,"high","ind"
34.06,2.41,"Estimated G and true G",4,20,0.5,"high","ind"
55.68,1.22,"P and estimated G",4,20,0.5,"high","ind"
53.01,0.68,"P and true G",8,20,0.5,"high","ind"
