"Ratio","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
7.3309,0.372811190466936,"F_G/F_P",4,50,0.1,"low","sim"
7.2261,0.275094837457848,"F_G/F_P",4,150,0.1,"low","sim"
8.158,0.321113592664558,"F_G/F_P",4,500,0.1,"low","sim"
3.5631,0.177028257460197,"F_G/F_P",4,50,0.5,"low","sim"
3.2296,0.162784167696141,"F_G/F_P",4,150,0.5,"low","sim"
3.3324,0.142946562029171,"F_G/F_P",4,500,0.5,"low","sim"
7.5119,0.409120729878311,"F_G/F_P",4,50,0.1,"medium","sim"
9.2049,0.451148243122731,"F_G/F_P",4,150,0.1,"medium","sim"
9.1656,0.412941464289181,"F_G/F_P",4,500,0.1,"medium","sim"
4.4474,0.307397601247188,"F_G/F_P",4,50,0.5,"medium","sim"
3.7185,0.190161248694497,"F_G/F_P",4,150,0.5,"medium","sim"
4.4235,0.327384010611454,"F_G/F_P",4,500,0.5,"medium","sim"
16.1352,1.21930505525803,"F_G/F_P",4,50,0.1,"high","sim"
18.0178,2.20530198385618,"F_G/F_P",4,150,0.1,"high","sim"
25.3693,2.76803390187317,"F_G/F_P",4,500,0.1,"high","sim"
10.5008,0.971753166065115,"F_G/F_P",4,50,0.5,"high","sim"
8.3694,1.13483485044203,"F_G/F_P",4,150,0.5,"high","sim"
8.4065,0.802374183787141,"F_G/F_P",4,500,0.5,"high","sim"
