"Ratio","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
8.885,0.538559967305256,"F_G/F_P",4,20,0.1,"low","sim"
8.5224,0.38903104495579,"F_G/F_P",4,60,0.1,"low","sim"
10.0473,0.471005883748019,"F_G/F_P",4,200,0.1,"low","sim"
3.8185,0.281794192934697,"F_G/F_P",4,20,0.5,"low","sim"
3.7115,0.201811111556016,"F_G/F_P",4,60,0.5,"low","sim"
3.4214,0.160078832852044,"F_G/F_P",4,200,0.5,"low","sim"
11.2014,0.919606459746821,"F_G/F_P",4,20,0.1,"medium","sim"
10.6075,0.662629143120895,"F_G/F_P",4,60,0.1,"medium","sim"
12.5814,0.610465396565637,"F_G/F_P",4,200,0.1,"medium","sim"
3.8227,0.193555768331883,"F_G/F_P",4,20,0.5,"medium","sim"
4.8056,0.261170068048474,"F_G/F_P",4,60,0.5,"medium","sim"
4.3621,0.259752496609656,"F_G/F_P",4,200,0.5,"medium","sim"
23.8143,2.69828168387875,"F_G/F_P",4,20,0.1,"high","sim"
24.8048,2.6506123953349,"F_G/F_P",4,60,0.1,"high","sim"
32.396,2.82279422064755,"F_G/F_P",4,200,0.1,"high","sim"
8.8247,0.993134934986636,"F_G/F_P",4,20,0.5,"high","sim"
8.8979,0.986578490070966,"F_G/F_P",4,60,0.5,"high","sim"
10.2498,1.21689513819956,"F_G/F_P",4,200,0.5,"high","sim"
